stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2004,TD-04,大和田,,35.92935,139.65102,2004,,0,,,
2005,TD-05,七里,,35.93649,139.66601,2005,,0,,,
2006,TD-06,岩槻,,35.95025,139.69313,2006,,0,,,
2007,TD-07,東岩槻,,35.96329,139.71227,2007,,0,,,
2008,TD-08,豊春,,35.96804,139.72619,2008,,0,,,
2009,TD-09,八木崎,,35.97858,139.74230,2009,,0,,,
2010,TD-10,春日部,,35.98007,139.75279,2010,,0,,,
2011,TD-11,藤の牛島,,35.98034,139.77807,2011,,0,,,
2012,TD-12,南桜井,,35.98060,139.80840,2012,,0,,,
2013,TD-13,川間,,35.97919,139.83455,2013,,0,,,
2014,TD-14,七光台,,35.97085,139.85295,2014,,0,,,
2015,TD-15,清水公園,,35.95879,139.86030,2015,,0,,,
2016,TD-16,愛宕,,35.95062,139.86462,2016,,0,,,
2017,TD-17,野田市,,35.94374,139.87079,2017,,0,,,
2018,TD-18,梅郷,,35.93158,139.89109,2018,,0,,,
2019,TD-19,運河,,35.91437,139.90604,2019,,0,,,
2020,TD-20,江戸川台,,35.89723,139.91053,2020,,0,,,
2021,TD-21,初石,,35.88384,139.91791,2021,,0,,,
2022,TD-22,流山おおたかの森,,35.87208,139.92576,2022,,0,,,
2023,TD-23,豊四季,,35.86653,139.93928,2023,,0,,,
2024,TD-24,柏,,35.86199,139.97046,2024,,0,,,
2025,TD-25,新柏,,35.83810,139.96704,2025,,0,,,
2026,TD-26,増尾,,35.82982,139.97632,2026,,0,,,
2027,TD-27,逆井,,35.82328,139.98370,2027,,0,,,
2028,TD-28,高柳,,35.80830,139.99898,2028,,0,,,
2029,TD-29,六実,,35.79371,139.99925,2029,,0,,,
2030,TD-30,新鎌ヶ谷,,35.77961,139.99836,2030,,0,,,
2031,TD-31,鎌ヶ谷,,35.76378,139.99731,2031,,0,,,
